imdb,kp_poster_url,year,kp_id,type,genres,countries
tt0110912,https://st.kp.yandex.net/images/film_big/342.jpg,1994,342,movie,"[{'name': 'криминал'}, {'name': 'драма'}]",[{'name': 'США'}]
tt0335266,https://st.kp.yandex.net/images/film_big/5930.jpg,2003,5930,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}]","[{'name': 'США'}, {'name': 'Япония'}]"
tt0993840,https://st.kp.yandex.net/images/film_big/428683.jpg,2021,428683,movie,"[{'name': 'ужасы'}, {'name': 'драма'}, {'name': 'боевик'}]",[{'name': 'США'}]
tt3707104,https://st.kp.yandex.net/images/film_big/857533.jpg,2016,857533,movie,"[{'name': 'триллер'}, {'name': 'драма'}]","[{'name': 'США'}, {'name': 'Испания'}, {'name': 'Италия'}]"
tt16759126,https://st.kp.yandex.net/images/film_big/1301880.jpg,2021,1301880,movie,[{'name': 'комедия'}],[{'name': 'Россия'}]
tt4513678,https://st.kp.yandex.net/images/film_big/897725.jpg,2021,897725,movie,"[{'name': 'фантастика'}, {'name': 'комедия'}, {'name': 'боевик'}, {'name': 'фэнтези'}]","[{'name': 'США'}, {'name': 'Канада'}]"
tt3402236,https://st.kp.yandex.net/images/film_big/817969.jpg,2017,817969,movie,"[{'name': 'детектив'}, {'name': 'криминал'}, {'name': 'драма'}]","[{'name': 'США'}, {'name': 'Мальта'}, {'name': 'Великобритания'}]"
tt7657566,https://st.kp.yandex.net/images/film_big/1103803.jpg,2020,1103803,movie,"[{'name': 'детектив'}, {'name': 'криминал'}, {'name': 'драма'}]","[{'name': 'США'}, {'name': 'Великобритания'}]"
tt6865690,https://st.kp.yandex.net/images/film_big/1047881.jpg,2018,1047881,movie,"[{'name': 'драма'}, {'name': 'комедия'}]",[{'name': 'США'}]
,https://st.kp.yandex.net/images/film_big/1108682.jpg,2018,1108682,tv-series,"[{'name': 'драма'}, {'name': 'фантастика'}, {'name': 'триллер'}]",[{'name': 'Россия'}]
tt8435892,https://st.kp.yandex.net/images/film_big/1150547.jpg,2019,1150547,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}]",[{'name': 'Германия'}]
tt6320628,https://st.kp.yandex.net/images/film_big/1008445.jpg,2019,1008445,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'приключения'}]",[{'name': 'США'}]
tt10872600,https://st.kp.yandex.net/images/film_big/1309570.jpg,2021,1309570,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'приключения'}, {'name': 'фэнтези'}]",[{'name': 'США'}]
tt2361509,https://st.kp.yandex.net/images/film_big/677893.jpg,2015,677893,movie,"[{'name': 'мелодрама'}, {'name': 'комедия'}]",[{'name': 'США'}]
tt1124035,https://st.kp.yandex.net/images/film_big/462482.jpg,2011,462482,movie,"[{'name': 'триллер'}, {'name': 'драма'}]",[{'name': 'США'}]
tt0427392,https://st.kp.yandex.net/images/film_big/161094.jpg,2007,161094,movie,"[{'name': 'фантастика'}, {'name': 'триллер'}]","[{'name': 'США'}, {'name': 'Австралия'}]"
tt4427076,https://st.kp.yandex.net/images/film_big/781432.jpg,2015,781432,movie,[{'name': 'мелодрама'}],[{'name': 'Россия'}]
,https://st.kp.yandex.net/images/film_big/1355139.jpg,2021,1355139,movie,"[{'name': 'комедия'}, {'name': 'драма'}, {'name': 'приключения'}]",[{'name': 'США'}]
tt0470752,https://st.kp.yandex.net/images/film_big/197532.jpg,2014,197532,movie,"[{'name': 'фантастика'}, {'name': 'триллер'}, {'name': 'драма'}]",[{'name': 'Великобритания'}]
,https://st.kp.yandex.net/images/film_big/1326397.jpg,2020,1326397,movie,"[{'name': 'комедия'}, {'name': 'мелодрама'}]",[{'name': 'Россия'}]
tt3567288,https://st.kp.yandex.net/images/film_big/838043.jpg,2015,838043,movie,[{'name': 'ужасы'}],[{'name': 'США'}]
