kp_id,kp_url,kp_poster_url,kp_full_name,name,year,type,genres_list,genre,countries_list,country,imdb,vote_date,vote
342,https://www.kinopoisk.ru/film/342/,https://st.kp.yandex.net/images/film_big/342.jpg,Криминальное чтиво (1994),Pulp Fiction,1994.0,movie,"криминал, драма",криминал,США,США,tt0110912,2022-10-15,8
5930,https://www.kinopoisk.ru/film/5930/,https://st.kp.yandex.net/images/film_big/5930.jpg,Трудности перевода (2003),Lost in Translation,2003.0,movie,"драма, мелодрама",драма,"США, Япония",США,tt0335266,2022-10-08,7
428683,https://www.kinopoisk.ru/film/428683/,https://st.kp.yandex.net/images/film_big/428683.jpg,Армия мертвецов (2021),Army of the Dead,2021.0,movie,"ужасы, драма, боевик",ужасы,США,США,tt0993840,2022-09-17,7
857533,https://www.kinopoisk.ru/film/857533/,https://st.kp.yandex.net/images/film_big/857533.jpg,Мина (2016),Mine,2016.0,movie,"триллер, драма",триллер,"США, Испания, Италия",США,tt3707104,2022-09-09,5
1301880,https://www.kinopoisk.ru/film/1301880/,https://st.kp.yandex.net/images/film_big/1301880.jpg,Семейный бюджет (2021),Семейный бюджет,2021.0,movie,комедия,комедия,Россия,Россия,tt16759126,2022-09-06,7
897725,https://www.kinopoisk.ru/film/897725/,https://st.kp.yandex.net/images/film_big/897725.jpg,Охотники за привидениями: Наследники (2021),Ghostbusters: Afterlife,2021.0,movie,"фантастика, комедия, боевик, фэнтези",фантастика,"США, Канада",США,tt4513678,2022-08-27,5
817969,https://www.kinopoisk.ru/film/817969/,https://st.kp.yandex.net/images/film_big/817969.jpg,Убийство в Восточном экспрессе (2017),Murder on the Orient Express,2017.0,movie,"детектив, криминал, драма",детектив,"США, Мальта, Великобритания",США,tt3402236,2022-08-13,7
1103803,https://www.kinopoisk.ru/film/1103803/,https://st.kp.yandex.net/images/film_big/1103803.jpg,Смерть на Ниле (2020),Death on the Nile,2020.0,movie,"детектив, криминал, драма",детектив,"США, Великобритания",США,tt7657566,2022-08-13,4
1047881,https://www.kinopoisk.ru/film/1047881/,https://st.kp.yandex.net/images/film_big/1047881.jpg,Во всё тяжкое (2018),The Professor,2018.0,movie,"драма, комедия",драма,США,США,tt6865690,2022-08-13,7
1108682,https://www.kinopoisk.ru/series/1108682/,https://st.kp.yandex.net/images/film_big/1108682.jpg,"Эпидемия (сериал, 2018 – ...)",Эпидемия,2018.0,tv-series,"драма, фантастика, триллер",драма,Россия,Россия,,2022-07-31,7
