kp_id,kp_url,kp_full_name,name,vote_date,vote
342,https://www.kinopoisk.ru/film/342/,Криминальное чтиво (1994),Pulp Fiction,15.10.2022,8
5930,https://www.kinopoisk.ru/film/5930/,Трудности перевода (2003),Lost in Translation,08.10.2022,7
428683,https://www.kinopoisk.ru/film/428683/,Армия мертвецов (2021),Army of the Dead,17.09.2022,7
857533,https://www.kinopoisk.ru/film/857533/,Мина (2016),Mine,09.09.2022,5
1301880,https://www.kinopoisk.ru/film/1301880/,Семейный бюджет (2021), ,06.09.2022,7
897725,https://www.kinopoisk.ru/film/897725/,Охотники за привидениями: Наследники (2021),Ghostbusters: Afterlife,27.08.2022,5
817969,https://www.kinopoisk.ru/film/817969/,Убийство в Восточном экспрессе (2017),Murder on the Orient Express,13.08.2022,7
1103803,https://www.kinopoisk.ru/film/1103803/,Смерть на Ниле (2020),Death on the Nile,13.08.2022,4
1047881,https://www.kinopoisk.ru/film/1047881/,Во всё тяжкое (2018),The Professor,13.08.2022,7
1108682,https://www.kinopoisk.ru/series/1108682/,"Эпидемия (сериал, 2018 – ...)", ,31.07.2022,7
1150547,https://www.kinopoisk.ru/film/1150547/,Любовь между строк (2019),Gut gegen Nordwind,23.07.2022,6
1008445,https://www.kinopoisk.ru/film/1008445/,Человек-паук: Вдали от дома (2019),Spider-Man: Far from Home,19.06.2022,6
1309570,https://www.kinopoisk.ru/film/1309570/,Человек-паук: Нет пути домой (2021),Spider-Man: No Way Home,18.06.2022,9
677893,https://www.kinopoisk.ru/film/677893/,Стажёр (2015),The Intern,11.06.2022,8
462482,https://www.kinopoisk.ru/film/462482/,Мартовские иды (2011),The Ides of March,21.05.2022,5
161094,https://www.kinopoisk.ru/film/161094/,Вторжение (2007),The Invasion,14.05.2022,4
781432,https://www.kinopoisk.ru/film/781432/,14+ (2015), ,01.05.2022,7
1355139,https://www.kinopoisk.ru/film/1355139/,Лулу и Бриггс (2021),Dog,25.04.2022,8
197532,https://www.kinopoisk.ru/film/197532/,Из машины (2014),Ex Machina,16.04.2022,7
1326397,https://www.kinopoisk.ru/film/1326397/,Батя (2020), ,15.04.2022,7
838043,https://www.kinopoisk.ru/film/838043/,Визит (2015),The Visit,09.04.2022,8
930000,https://www.kinopoisk.ru/film/930000/,Почему он? (2016),Why Him?,02.04.2022,7
458,https://www.kinopoisk.ru/film/458/,Корпорация монстров (2001),"Monsters, Inc.",26.03.2022,10
4542882,https://www.kinopoisk.ru/film/4542882/,Поездка на выходные (2022),The Weekend Away,07.03.2022,7
