imdbID,Rating10,WatchedDate
tt0110912,8,2022-10-15
tt0335266,7,2022-10-08
tt0993840,7,2022-09-17
tt3707104,5,2022-09-09
tt16759126,7,2022-09-06
tt4513678,5,2022-08-27
tt3402236,7,2022-08-13
tt7657566,4,2022-08-13
tt6865690,7,2022-08-13
tt8435892,6,2022-07-23
tt6320628,6,2022-06-19
tt10872600,9,2022-06-18
tt2361509,8,2022-06-11
tt1124035,5,2022-05-21
tt0427392,4,2022-05-14
tt4427076,7,2022-05-01
tt0470752,7,2022-04-16
tt3567288,8,2022-04-09
tt4501244,7,2022-04-02
tt0198781,10,2022-03-26
tt14817272,7,2022-03-07
tt6654210,3,2022-03-05
tt1951265,5,2022-02-22
tt10341034,9,2022-02-20
tt0313737,5,2022-02-14
tt0441773,8,2022-02-13
tt8718158,5,2022-02-13
tt1041829,5,2022-02-05
tt11616036,3,2022-01-29
tt0317740,6,2022-01-28
tt3631112,8,2022-01-22
tt7888964,10,2022-01-16
tt0427229,6,2022-01-15
tt6264654,7,2022-01-14
tt0448115,6,2022-01-10
tt6334354,7,2022-01-08
tt7126948,3,2022-01-08
tt7097896,3,2022-01-06
tt0373889,8,2022-01-04
tt0304141,8,2022-01-03
tt0330373,9,2022-01-03
tt0295297,9,2022-01-02
tt11286314,8,2022-01-02
tt16116174,8,2022-01-01
tt11738870,5,2021-12-29
tt0314331,9,2021-12-25
tt1291570,4,2021-12-18
tt13070602,5,2021-12-05
tt5989218,9,2021-11-27
tt7991608,6,2021-11-19
tt6433456,5,2021-11-16
tt3228774,5,2021-11-16
tt14091030,3,2021-11-16
tt13024674,5,2021-11-06
tt10933000,6,2021-11-03
tt4080728,7,2021-11-03
tt10919420,7,2021-10-16
tt0189998,7,2021-10-10
tt12028944,8,2021-10-02
tt1392170,7,2021-09-26
tt1160419,7,2021-09-26
tt9738784,9,2021-09-24
tt1219289,7,2021-09-17
tt12200256,6,2021-08-27
tt0358273,7,2021-08-14
tt1596350,6,2021-08-08
tt0241527,10,2021-08-01
tt7504726,8,2021-07-10
tt5884052,4,2021-06-06
tt7601480,7,2021-05-21
tt1478839,10,2021-05-15
tt8333746,3,2021-05-14
tt7146812,7,2021-05-05
tt9620292,8,2021-05-04
tt11083552,6,2021-04-25
tt2719848,9,2021-04-09
tt4276820,7,2021-04-03
tt8265928,7,2021-04-02
tt6270534,6,2021-03-28
tt6723592,7,2021-03-26
tt0824747,7,2021-03-19
tt0359950,8,2021-03-13
tt11547520,5,2021-03-05
tt0467200,7,2021-02-26
tt13666772,7,2021-02-20
tt0892318,6,2021-02-14
tt3488710,7,2021-02-14
tt3513548,8,2021-01-29
tt0408790,8,2021-01-15
tt4729430,9,2021-01-08
tt0119116,7,2020-12-27
tt13144490,6,2020-12-25
tt11455654,7,2020-12-19
tt11439556,7,2020-12-18
tt4912910,6,2020-12-17
tt1051906,7,2020-12-05
tt2381249,8,2020-12-03
tt3487382,8,2020-11-30
tt2704998,6,2020-11-27
tt9814116,5,2020-11-17
tt1229238,7,2020-10-30
tt0317919,7,2020-10-22
tt12058242,6,2020-10-20
tt4005402,8,2020-10-16
tt1924429,5,2020-10-02
tt1343727,7,2020-09-26
tt8880894,6,2020-09-25
tt3531824,6,2020-09-21
tt0120755,5,2020-09-19
tt0117060,9,2020-09-19
tt12516676,9,2020-09-15
tt1392214,9,2020-09-04
tt8129794,7,2020-09-02
tt1298644,4,2020-08-29
tt6499752,7,2020-08-29
tt1881109,1,2020-08-22
tt2191701,1,2020-08-19
tt1375670,8,2020-08-16
tt3799694,6,2020-08-11
tt2096673,8,2020-08-08
tt9059760,3,2020-08-05
tt5886046,6,2020-08-02
tt11394200,9,2020-07-12
tt1564367,6,2020-07-04
tt0102685,7,2020-06-25
tt0780504,4,2020-06-25
tt8655574,5,2020-06-24
tt5093026,7,2020-06-09
tt1100089,6,2020-06-09
tt6105098,6,2020-06-06
tt1536537,5,2020-05-29
tt8688634,6,2020-05-22
tt4857264,9,2020-05-15
tt1596363,6,2020-05-08
tt6742252,8,2020-05-01
tt5716464,7,2020-04-24
tt8946378,10,2020-04-17
tt14333000,8,2020-04-14
tt1560220,8,2020-04-10
tt8367814,10,2020-04-05
tt8228288,9,2020-03-29
tt7131622,5,2020-03-20
tt6324614,4,2020-02-22
tt4951982,6,2020-02-08
tt8579674,10,2020-02-05
tt7335184,6,2020-02-01
tt7139936,9,2020-01-05
tt1950235,5,2020-01-02
tt7909970,10,2019-12-28
tt7349950,3,2019-12-22
tt7349662,6,2019-12-07
tt9450542,2,2019-12-02
tt3606756,8,2019-11-16
tt1276104,6,2019-11-03
tt2692904,7,2019-10-20
tt7752126,4,2019-10-19
tt0181689,9,2019-10-13
tt3532216,6,2019-10-05
tt7286456,5,2019-10-04
tt6139732,5,2019-09-21
tt5966602,7,2019-09-16
tt3864056,10,2019-09-13
tt6644200,4,2019-08-25
tt6966692,9,2019-08-24
tt0112442,6,2019-08-23
tt4463894,5,2019-08-23
tt0437086,7,2019-08-11
tt6823368,9,2019-08-09
tt5304992,5,2019-08-03
tt8613876,5,2019-07-23
tt9419834,4,2019-07-21
tt6751668,10,2019-07-16
tt2884206,10,2019-07-12
tt7366338,10,2019-07-09
tt8201170,6,2019-07-06
tt1618434,5,2019-07-06
tt4123430,5,2019-05-31
tt10400024,9,2019-05-30
tt0234215,8,2019-05-26
tt0133093,9,2019-05-06
tt7342838,10,2019-05-04
tt2115354,7,2019-05-02
tt10147546,9,2019-04-18
tt1270797,5,2019-04-13
tt4003440,7,2019-04-07
tt5613484,10,2019-03-17
tt9624470,3,2019-03-13
tt4630562,7,2019-03-10
tt1727824,7,2019-03-04
tt2053463,9,2019-02-24
tt1213641,5,2019-02-09
tt0365907,3,2019-02-08
tt0113101,7,2019-01-31
tt9495224,8,2019-01-31
tt6628394,10,2019-01-27
tt1517451,5,2019-01-26
tt6960712,8,2019-01-18
tt13338880,7,2019-01-18
tt8287236,4,2019-01-18
tt7896692,2,2019-01-18
tt7507644,6,2019-01-18
tt3949660,5,2019-01-12
tt4034354,4,2019-01-11
tt6673840,4,2019-01-10
tt7632930,6,2019-01-09
tt7394636,3,2019-01-09
tt8462858,2,2019-01-06
tt1931533,6,2019-01-05
tt5657846,7,2019-01-04
tt1528854,7,2018-12-31
tt5027774,8,2018-12-09
tt6823698,4,2018-12-08
tt7668870,7,2018-11-23
tt7863198,4,2018-11-18
tt1837492,8,2018-10-28
tt6270596,2,2018-10-21
tt5726616,5,2018-10-20
tt1645170,2,2018-10-12
tt4925292,10,2018-10-01
tt6952604,5,2018-09-16
tt5837242,9,2018-09-01
tt5463162,9,2018-08-26
tt5220122,5,2018-07-26
tt2802154,8,2018-07-15
tt2406566,3,2018-06-22
tt1485796,3,2018-06-18
tt1677720,10,2018-06-11
tt3183660,8,2018-06-01
tt0974015,9,2018-04-30
tt7964748,8,2018-03-24
tt9340622,6,2018-03-23
tt5580390,8,2018-03-10
tt1396484,6,2018-03-08
tt5844488,2,2018-02-24
tt4034228,8,2018-02-23
tt0067517,9,2018-02-23
tt5580036,10,2018-02-18
tt1959563,4,2018-02-10
tt5987402,10,2018-02-03
tt4649466,10,2018-01-21
tt3890160,10,2018-01-10
tt5157456,5,2018-01-08
tt1682187,4,2018-01-08
tt5013056,5,2018-01-06
tt3896198,7,2017-12-30
tt6841500,3,2017-12-02
tt2250912,7,2017-11-27
tt0489270,5,2017-11-26
tt5653294,5,2017-11-20
tt0432348,7,2017-11-07
tt4731148,4,2017-11-04
tt2911666,4,2017-10-26
tt6070530,4,2017-10-19
tt3892434,10,2017-09-10
tt0387564,9,2017-08-12
tt0080439,10,2017-08-11
tt0356634,7,2017-08-09
tt1403865,5,2017-08-09
tt0457433,9,2017-08-09
tt2333804,5,2017-08-06
tt5526660,1,2017-08-05
tt2182001,3,2017-08-05
tt2281159,4,2017-08-02
